ID,Cur Stn,"Cur City, State",Cur Division,Cur Train,Model,Model Year,Built Date,Rebuilt Date,HP,Category,Train Service Code,Assign Date,Last Upd,Home Shop,Alt Shop,Power Usage,Home Operating Station,Status,Servicing State,Task Type,FRA Due,FRA Dead,Next LCDI Due,Axles,ADH,SM,AC,DP Code,DP Description,Energy Mgmt,Energy Mgmt Health,ECP Code,ECP Description,CS,LSL,PTC,PTC Health,Slow Speed,Remote Control,Auto Start,Loco Apu,Remote Diag,Fuel Cap,Rail View,Loco Grp,Brake Schedule,Amtrak Clearance,Cell Phn Detection,V/TI,Length,Weight
NS 3516,791,"Birmingham, AL",Alabama (08),,SD40-2,78,1978-07-01,,3000,RD Unit IN RD Service,AL Douglasville GA (DG),2018-06-20,TXIFV,BIR,CHA,YL,"Douglasville, GA  (659)",A,,ME,2019-05-16,2019-05-23,,6,Low,,Y,N,Not Equipped,,,N,Not Equipped,,,,,,,,,NEQ,4000,N,3,26L,N,N,,"68'10""",384020
NS 3519,A114,"Danville, KY",Lake (92),,SD40-2,78,1978-07-01,,3000,RD Unit IN RD Service,HB Manassas VA (2M),2019-03-05,TXIFV,SPE,SCX,YL,"Manassas, VA  (33)",A,,ME,2019-05-25,2019-06-01,,6,Low,,Y,N,Not Equipped,,,N,Not Equipped,,,,,,,Ztr Smartstart Iie,,NEQ,4000,N,3,26L,N,N,,"68'10""",384020
NS 3522,791,"Birmingham, AL",Alabama (08),,SD40-2,78,1978-10-01,,3000,RD Unit IN RD Service,AL Birmingham Hump/Pb (AQ),2018-06-14,TXIFV,BIR,BIR,YL,"Birmingham, AL  (791)",A,,ME,2019-06-21,2019-06-28,,6,Low,,Y,N,Not Equipped,,,N,Not Equipped,,,IETMS,Healthy,,,,,NEQ,4000,Y,3,26L,Y,N,,"68'10""",384020
NS 3508,160A,"Loudon, TN",Georgia (04),T72.26,SD40-2,77,1977-03-01,,3000,RD Unit IN RD Service,AL Emory Gap TN (0E),2018-04-19,TXIFV,CHA,SCX,YL,"Emory Gap, TN  (A258)",A,,ME,2019-07-07,2019-07-14,,6,Low,,Y,N,Not Equipped,,,N,Not Equipped,,,,,,,,,NEQ,4000,N,3,26L,N,N,,"68'10""",384020
NS 3511,235,"Danville, VA",Piedmont (03),P04.26,SD40-2,77,1977-12-01,,3000,RD Unit IN RD Service,PO Roanoke VA (RN),2017-10-27,TXIFV,SCX,SCX,YL,"Roanoke, VA  (10254)",A,,ME,2019-06-21,2019-06-28,,6,Low,,Y,N,Not Equipped,,,N,Not Equipped,,,IETMS,Healthy,,,,,NEQ,4000,Y,3,26L,N,N,,"68'10""",384020
NS 3512,1135,"Tennille, GA",Georgia (04),G23.26,SD40-2,77,1977-12-01,,3000,RD Unit IN RD Service,GA Rosser GA (RG),2018-01-26,TXIFV,INM,CHA,YL,"Rosser, GA  (386H)",A,,ME,2019-05-04,2019-05-11,,6,Low,,Y,N,Not Equipped,,,N,Not Equipped,,,,,,,,,NEQ,4000,N,3,26L,N,N,,"68'10""",384020
NS 3513,791,"Birmingham, AL",Alabama (08),AB44.25,SD40-2,77,1977-12-01,,3000,RD Unit IN RD Service,AL Tuscaloosa AL (TS),2018-07-02,TXIFV,BIR,CHA,YL,"Tuscaloosa, AL  (A533)",A,,MR,2019-04-18,2019-04-25,,6,Low,,Y,N,Not Equipped,,,N,Not Equipped,,,,,,,,,QEI-CMU,4000,N,3,26L,N,N,,"68'10""",384020
NS 3514,15555,"Radford, VA",Pocahontas (62),,SD40-2,77,1977-12-01,,3000,RD Unit IN RD Service,PO Kinney Yard VA (KL),2017-07-14,TXIFV,SCX,SCX,YL,"Kinney Yard, VA  (12004)",A,,ME,2019-05-02,2019-05-09,,6,Low,,Y,N,Not Equipped,,,N,Not Equipped,,,IETMS,Healthy,,,,,NEQ,4000,Y,3,26L,N,N,,"68'10""",384020
NS 3515,SC14,"Ashley Phosphate SC, SC",Piedmont (03),,SD40-2,77,1977-12-01,,3000,RD Unit IN RD Service,PD Spartanburg SC (S2),2016-01-19,QEGV1,SPE,SCX,YL,"Spartanburg, SC  (454)",A,,ME,2019-05-08,2019-05-15,,6,Low,,Y,N,Not Equipped,,,N,Not Equipped,,,,,,,,,NEQ,4000,N,3,26L,N,N,,"68'10""",384020
NS 3507,240A,"Chattanooga, TN",Alabama (08),,SD40-2,75,1975-01-01,,3000,RD Unit IN RD Service,PO Radford VA (RA),2018-03-02,TXIFV,SCX,SCX,YL,"Radford, VA  (15555)",S,IS,MR,2018-11-10,2018-11-17,,6,Low,,Y,N,Not Equipped,,,N,Not Equipped,,,IETMS,Unhealthy,,,,,NEQ,4000,Y,3,26L,N,N,,"68'10""",384020
